,0
0,-0.5380058336772845
1,-0.1633118380619864
2,0.0946770183476682
3,-0.03598130689998977
4,0.1429789792780108
5,0.05089761706422989
6,-0.14759324777892124
7,-0.02586165156150769
8,-0.04487297767930288
9,-0.09267381189908659
10,-0.06864652657624043
11,0.03614778670956803
12,0.15099984651090134
13,0.05261886326013909
14,0.12048249146359133
15,0.2496288863451002
16,-0.09140319743415228
17,-0.12263711477558183
18,-0.10135114446134812
19,0.033071768994804386
20,0.05662878615029727
21,-0.055209877906140195
22,-0.04326383030688254
23,-0.09148744640714614
24,-0.10483416531923598
25,0.03326556989583773
26,-0.003853681192614958
27,-0.12786673769183263
28,-0.0002197383973671363
29,-0.03766084430742327
30,-0.061840896581562166
31,-0.05156300503074712
32,0.16938282893467593
33,-0.018830628002863906
34,0.13276475643971244
35,-0.04570156475681053
36,-0.12495755621674715
37,-0.1623895928201175
38,0.010186913522126272
39,0.05095972626281587
40,-0.09190934777321769
41,0.050358616006416744
42,0.10293729743085657
43,0.15108190509352432
44,0.1876851411778623
45,0.020595363733665106
46,-0.0006381075172709472
47,0.0797676021131115
48,0.03286720724796685
49,-0.09957790417268689
50,-0.024145159427756753
51,-0.033513308837316305
52,0.03710749002435509
53,-0.06416242190625812
54,-0.16550343516634355
55,-0.00435027032447053
56,-0.1319191793724799
57,0.03238396899778978
58,-0.06962798771849552
59,0.15113959075313183
60,-0.11334084400861272
61,-0.10141451682806141
62,-0.1654080070492295
63,0.09131515639945714
64,-0.12070304682248134
65,-0.16952398255107734
66,-0.01918464355626391
67,0.1885773568044531
68,0.13409207244176136
69,0.015308158311904255
70,0.007370669358657286
71,-0.19664980464466958
72,-0.14033432409020935
73,-0.1286985895211781
74,-0.06497893248738414
75,0.05166865972683645
76,-0.06802316362123095
77,-0.15083072573357123
78,-0.058065064263093144
79,-0.022363859508141855
80,-0.0794733199038508
81,-0.1412243244309174
82,-0.08720335347457098
83,0.05179914317289417
84,-0.044312515611429196
85,-0.07543268216700152
86,0.012295012740623938
87,0.08628126474680774
88,0.050721593059879125
89,-0.0688050081275135
90,-0.2870779910302525
91,-0.1747281949478675
92,0.15598817403886295
93,-0.013777030664341716
94,0.0020637396269796047
95,-0.03086076124067909
96,-0.08755980444214409
97,-0.08716051890977242
98,-0.0926038861206737
99,-0.040255515821253966
100,0.07023106609249886
101,0.21392353698264988
102,0.05838813099072835
103,-0.13489459828611444
104,-0.2560093347985643
105,0.06780552454338083
106,0.22507290666190752
107,0.11771219348708903
108,0.07603619482534667
109,-0.16440481383495342
110,-0.02982156886898489
111,0.006666493879605094
112,0.07169939362857365
113,-0.014131271649467238
114,-0.009760480642742235
115,-0.01011490708000334
116,-0.1669222452035522
117,-0.1361880570991275
118,-0.06745780949633182
119,-0.10451055894047113
120,0.14410178957833225
121,0.07219741452871056
122,0.2744583129777706
123,0.22599173415773846
124,0.19137080296174447
125,0.1291896522741935
126,-0.13232181979276791
127,-0.21772247761151053
128,-0.04142684493272843
129,-0.019221814224505453
130,-0.1432328292855959
131,-0.17745264563703017
132,-0.08766985198906115
133,0.06416363732351796
134,0.00612908027734088
135,-0.06153716044376832
136,-0.21627905333768113
137,-0.08882049764877248
138,0.15742965189356642
139,0.1362405793701496
140,0.12658776849455589
141,-0.15677761584188865
142,-0.054720528245931904
143,0.00677319828921203
144,-0.1266747081080992
145,-0.04869916334734908
146,0.07499066734194179
147,-0.0636109220670853
148,-0.04695284032279384
149,-0.1441705547877526
150,0.01015392942377013
151,0.04786288339071734
152,0.00103779505649579
153,-0.0700299696590544
154,0.17104638813788348
155,0.045418434934093435
156,0.046733434368959395
157,0.03257973391047844
158,-0.17247313891075466
159,-0.0718451631057678
160,0.002164305723344386
161,0.1590705555862366
162,0.18254254121484526
163,-0.028086852379494362
164,0.05686029455802684
165,0.03248873076672738
166,0.04143241049302682
167,-0.0007822514137302092
168,-0.003872474720498306
169,-0.02843028533334094
170,0.09517519682813456
171,0.04608956398193562
172,0.0689757017905477
173,0.06731242735600523
174,0.011570485815962803
175,0.09725128100461432
176,0.23801922216644178
177,0.11832112513035757
178,0.11638490811189378
179,0.03921356298114146
180,-0.11157055392854473
181,-0.06103455535258492
182,-0.27974796933578694
183,-0.11286577512189692
184,-0.09704971670492904
185,-0.018502381799896515
186,-0.17121665976929015
187,-0.015294397586313305
188,0.02959991187214539
189,0.055590063489804095
190,-0.12362560570048371
191,0.004428041243146691
192,0.10017006422512965
193,0.04832461994033804
194,-0.08516451923484042
195,-0.04017288252984004
196,0.057316308077251785
197,0.00044614604883041337
198,-0.02629917387903018
199,-0.0033436670068830807
